Food counter 	Food type	Sub-category	Region	Year of study	Report type	"kg CO2-eq/kg produce, BFM or L after conversion"	Notes (conventional farming assumed unless stated)	Reference	reference number
Dairy Counter	Cows Milk	Milk	New Zealand	2007	Report	0.94		"Ledgard, S. F., C. Basset-Mens, S. McLaren and M. Boyes (2007). Energy use, “food miles” and greenhouse gas emissions from New Zealand dairying – how efficient are we? Proceedings of the New Zealand Grassland Association: 223–228."	0076
Dairy Counter	Cows Milk	Milk	France	2014	Conference	0.94	"biosphical, mean AGRIBALYSE®"	"Salou, T., S. Espagnol, A. Gac, P. Ponchant, A. l. Tocqueville, V. Colomb and H. M. G. v. d. Werf (2014). Life Cycle Assessment of French livestock products: Results of the AGRIBALYSE® program. Proceedings of the 9th International Conference on Life Cycle Assessment in the Agri-Food Sector. San Francisco: 1154-1162."	0077
Dairy Counter	Cows Milk	Milk	Sweden	2007	Report	0.95	organic	"Ledgard, S. F., C. Basset-Mens, S. McLaren and M. Boyes (2007). Energy use, “food miles” and greenhouse gas emissions from New Zealand dairying – how efficient are we? Proceedings of the New Zealand Grassland Association: 223–228."	0078
Dairy Counter	Cows Milk	Milk	Ireland	2014	Journal	0.98		"O’Brien, D., J. L. Capper, P. C. Garnsworthy, C. Grainger and L. Shalloo (2014). ""A case study of the carbon footprint of milk from high-performing confinement and grass-based dairy farms."" Journal of Dairy Science 97(3): 1835-1851."	0079
Dairy Counter	Cows Milk	Milk	Ireland	2014	Journal	0.98		"O’Brien, D., J. L. Capper, P. C. Garnsworthy, C. Grainger and L. Shalloo (2014). ""A case study of the carbon footprint of milk from high-performing confinement and grass-based dairy farms."" Journal of Dairy Science 97(3): 1835-1851."	0080
Dairy Counter	Cows Milk	Milk	France	2013	Journal	0.99	"grass/low maize silage-hostein enriched with omega 3 fatty acids from linseed, system expansion"	"Nguyen, T. T. H., M. Doreau, M. S. Corson, M. Eugène, L. Delaby, G. Chesneau, Y. Gallard and H. M. G. van der Werf (2013). ""Effect of dairy production system, breed and co-product handling methods on environmental impacts at farm level."" Journal of Environmental Management 120(0): 127-137."	0081
Dairy Counter	Cows Milk	Milk	USA	2012	Journal	1.01		"Belflower, J. B., J. K. Bernard, D. K. Gattie, D. W. Hancock, L. M. Risse and C. Alan Rotz (2012). ""A case study of the potential environmental impacts of different dairy production systems in Georgia."" Agricultural Systems 108(0): 84-93."	0082
Dairy Counter	Cows Milk	Milk	Netherlands	2013	Journal	1.01	"skim Milk, cow, skim, average "	"Head, M., M. Sevenster, I. Odegard, B. Krutwagen, H. Croezen and G. Bergsma (2013). ""Life cycle impacts of protein-rich foods: creating robust yet extensive life cycle models for use in a consumer app."" Journal of Cleaner Production(in press): 1-10."	0083
Dairy Counter	Cows Milk	Milk	France	2013	Journal	1.01	"grass/low maize silage-hostein, system expansion"	"Nguyen, T. T. H., M. Doreau, M. S. Corson, M. Eugène, L. Delaby, G. Chesneau, Y. Gallard and H. M. G. van der Werf (2013). ""Effect of dairy production system, breed and co-product handling methods on environmental impacts at farm level."" Journal of Environmental Management 120(0): 127-137."	0084
Dairy Counter	Cows Milk	Milk	Ireland	2012	Journal	1.01	pasture	"O’Brien, D., L. Shalloo, J. Patton, F. Buckley, C. Grainger and M. Wallace (2012). ""A life cycle assessment of seasonal grass-based and confinement dairy farms."" Agricultural Systems 107(0): 33-46."	0085
