FoodNumber,FoodName,CO2e,CO2eRef
251,"BISCUITS CHEESE FLAVOURED",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
252,"CHEESE SANDWICH BISCUITS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
253,"FULLY COATED CHOCOLATE BISCUITS WITH BISCUIT FILLING",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
254,"CHOCOLATE SHORT OR SWEET BISCUITS HALF COATED",  933,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
255,"CREAM CRACKERS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
256,"CRISPBREAD RYE",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
257,"CRISPBREADS STARCH REDUCED",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
258,"CRISPBREADS EXTRA LIGHT",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
259,"DIGESTIVE PLAIN",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
260,"DIGESTIVES HALF COATED IN CHOCOLATE",  933,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
261,"FLAPJACKS PURCHASED",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
262,"FRUIT BISCUITS NOT WHOLEMEAL",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
263,"GINGERNUTS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
264,"HOMEMADE BISCUITS - CREAMING METHOD",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
265,"JAM FILLED BISCUITS EG JAMMIE DODGERS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
266,"MATZOS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
267,"OATCAKES",  259,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
268,"CREAM SANDWICH BISCUITS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
269,"SEMI-SWEET BISCUIT",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
270,"SHORT SWEET BISCUITS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
271,"SHORTBREAD HOMEMADE NOT WHOLEMEAL",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
272,"BISCUITS WAFER SANDWICH CREAM FILLED",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
273,"WAFER-PLAIN ICE-CREAM WAFER NOT FILLED",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
274,"WATER BISCUIT",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
275,"TWIGLETS",  217,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
276,"WHOLEMEAL BISCUIT PLAIN OR FLAVOURED",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
279,"SALTINES EG TUC RITZ",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
280,"SNOWBALLS",  933,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
281,"FRUIT AND NUT BISCUITS",  317,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
